2020-09-30 | 14:10:15.529 | [] |  WARN | AnnotationConfigServletWebServerApplicationContext | (   559) | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
2020-09-30 | 14:10:15.530 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:10:15.531 | [] |  INFO | StandardService                | (   173) | Stopping service [Tomcat]
2020-09-30 | 14:10:15.538 | [] |  INFO | ConditionEvaluationReportLoggingListener | (   136) | 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-30 | 14:10:15.541 | [] | ERROR | LoggingFailureAnalysisReporter | (    40) | 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2020-09-30 | 14:12:13.590 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 3084 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:12:13.592 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:12:13.633 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 14:12:13.633 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-30 | 14:12:14.160 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:12:14.166 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:12:14.166 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-09-30 | 14:12:14.217 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring embedded WebApplicationContext
2020-09-30 | 14:12:14.217 | [] |  INFO | ServletWebServerApplicationContext | (   285) | Root WebApplicationContext: initialization completed in 583 ms
2020-09-30 | 14:12:14.330 | [] |  INFO | ThreadPoolTaskExecutor         | (   181) | Initializing ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:12:14.435 | [] |  INFO | OptionalLiveReloadServer       | (    58) | LiveReload server is running on port 35729
2020-09-30 | 14:12:14.458 | [] |  INFO | TomcatWebServer                | (   220) | Tomcat started on port(s): 8080 (http) with context path '/api/v1'
2020-09-30 | 14:12:14.466 | [] |  INFO | StorageAppApplication          | (    61) | Started StorageAppApplication in 1.113 seconds (JVM running for 1.655)
2020-09-30 | 14:12:21.646 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-30 | 14:12:21.646 | [] |  INFO | DispatcherServlet              | (   525) | Initializing Servlet 'dispatcherServlet'
2020-09-30 | 14:12:21.650 | [] |  INFO | DispatcherServlet              | (   547) | Completed initialization in 4 ms
2020-09-30 | 14:12:21.661 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:19:50.823 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:21:34.810 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 7192 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:21:34.812 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:21:34.848 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 14:21:34.848 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-09-30 | 14:21:35.411 | [] |  INFO | TomcatWebServer                | (   108) | Tomcat initialized with port(s): 8080 (http)
2020-09-30 | 14:21:35.416 | [] |  INFO | StandardService                | (   173) | Starting service [Tomcat]
2020-09-30 | 14:21:35.417 | [] |  INFO | StandardEngine                 | (   173) | Starting Servlet engine: [Apache Tomcat/9.0.38]
